operator,new
Allegheny Contracting Co.,allegheny_contracting
Sewickley Water Co.,sewickley_water
Stewart Coal & Coke Co.,stewart_coal_coke
A. E. Profio,a_e_profio
Medved Mining Co.,medved_mining
"Delta Mining, Inc.",delta_mining
Charles E. Brooks,charles_e_brooks
Lumstead Coal Co.,lumstead_coal
Greensburg Connellsville Coal & Coke Co.,greensburg_connellsville_coal_coke
Tony Caruso,tony_caruso
Charles E. Brown,charles_e_brown
Formis Coal Co.,formis_coal
Twin River Co.,twin_river
"Mullett Coal Co., Inc.",mullett_coal
"Mullett Coal Co., Inc.",mullett_coal
George J. Reibel,george_j_reibel
W.B. Knowlton & Paul M. Smiley,wb_knowlton_paul_m_smiley
Charles Brown,charles_brown
Gbg-Connellsville Constr. & Coal Co.,gbgconnellsville_constr_coal
Jacob Rupnik Jr.,jacob_rupnik_jr
Twin River Co.,twin_river
"Mullett Coal Co., Inc.",mullett_coal
Twin River Co.,twin_river
"Mullett Coal Co., Inc.",mullett_coal
"Mullett Coal Co., Inc.",mullett_coal
"Mullett Coal Co., Inc.",mullett_coal
Pat Haddock Coal & Contracting Co.,pat_haddock_coal_contracting
Pittsburgh Coal Co.,pittsburgh_coal
Salvatore Pandolfo,salvatore_pandolfo
Floyd Calavenzo,floyd_calavenzo
Fred L. Silhol,fred_l_silhol
"Janet Coal Co., Inc.",janet_coal
"Janet Coal Co., Inc.",janet_coal
Witzberger & Giuliani,witzberger_giuliani
Enterprise Coal Co.,enterprise_coal
Superior Coal Co.,superior_coal
William Breedlove & Sons,william_breedlove_sons
W.J. Miller,wj_miller
Oakdale Mining Co. & A. Schlegel,oakdale_mining_a_schlegel
Miller Strip Mining Co.,miller_strip_mining
"Bellaire Enterprises, Inc.",bellaire_enterprises
North Star Coal Co.,north_star_coal
Sudan Coal Co.,sudan_coal
"Jacob Rupnik, Jr.",jacob_rupnik_jr
W.C. Garlow & Son,wc_garlow_son
Vento Construction Co.,vento_construction
Conte Equipment Corp.,conte_equipment
"J.M. Hall, Sr. & Jr., Inc.",jm_hall_sr_jr
Remaley Brothers,remaley_brothers
Twin River Co.,twin_river
Twin River Co.,twin_river
Twin River Co.,twin_river
Mission Coal Co.,mission_coal
Twin River Co.,twin_river
Seibert Coal Co.,seibert_coal
Zeglin & Evancho,zeglin_evancho
"LaPaglia Contractors, Inc.",lapaglia_contractors
Julius S. Barata,julius_s_barata
Gibac & Zupancic,gibac_zupancic
